date,exit,S,K,S_T,iv,prem,pnl,cap
2021-11-11,2021-11-18,17873.6,16979.92,17764.8,0.164,1.36,80.13,1001508.79
2021-11-18,2021-11-25,17764.8,16876.56,17536.25,0.149,0.6,35.86,1001544.66
2021-11-25,2021-12-02,17536.25,16659.44,17401.65,0.167,1.54,92.66,1001637.31
2021-12-02,2021-12-09,17401.65,16531.57,17516.85,0.181,2.77,167.6,1001804.92
2021-12-09,2021-12-16,17516.85,16641.01,17248.4,0.166,1.5,90.16,1001895.08
2021-12-16,2021-12-23,17248.4,16385.98,17072.6,0.159,1.05,64.13,1001959.2
2021-12-23,2021-12-30,17072.6,16218.97,17203.95,0.158,1.0,61.86,1002021.06
2021-12-30,2022-01-06,17203.95,16343.75,17745.9,0.166,1.45,88.94,1002109.99
2022-01-06,2022-01-13,17745.9,16858.61,18257.8,0.18,2.71,160.85,1002270.85
2022-01-13,2022-01-20,18257.8,17344.91,17757.0,0.167,1.64,94.43,1002365.28
2022-01-20,2022-01-27,17757.0,16869.15,17110.15,0.178,2.52,149.53,1002514.81
2022-01-27,2022-02-03,17110.15,16254.64,17560.2,0.211,6.93,427.26,1002942.06
2022-02-03,2022-02-10,17560.2,16682.19,17605.85,0.192,4.06,244.18,1003186.24
2022-02-10,2022-02-17,17605.85,16725.56,17304.6,0.177,2.42,145.02,1003331.26
2022-02-17,2022-02-24,17304.6,16439.37,16247.95,0.22,8.87,-11147.79,992183.47
2022-02-24,2022-03-03,16247.95,15435.55,16498.05,0.32,40.43,2597.61,994781.09
2022-03-03,2022-03-10,16498.05,15673.15,16594.9,0.282,25.78,1635.38,996416.47
2022-03-10,2022-03-17,16594.9,15765.16,17287.05,0.256,17.43,1101.4,997517.87
2022-03-17,2022-03-24,17287.05,16422.7,17222.75,0.226,10.17,617.48,998135.34
2022-03-24,2022-03-31,17222.75,16361.61,17464.75,0.239,13.37,815.29,998950.63
2022-03-31,2022-04-07,17464.75,16591.51,17639.55,0.206,6.16,370.96,999321.59
2022-04-07,2022-04-18,17639.55,16757.57,17173.65,0.19,12.72,758.34,1000079.93
2022-04-21,2022-04-28,17392.6,16522.97,17245.05,0.179,2.52,152.71,1000232.64
2022-04-28,2022-05-05,17245.05,16382.8,16682.65,0.194,4.28,261.45,1000494.09
2022-05-05,2022-05-12,16682.65,15848.52,15808.0,0.203,5.46,-2214.83,998279.26
2022-05-12,2022-05-19,15808.0,15017.6,15809.4,0.243,13.11,871.06,999150.32
2022-05-19,2022-05-26,15809.4,15018.93,16170.15,0.246,13.85,920.86,1000071.18
2022-05-26,2022-06-02,16170.15,15361.64,16628.0,0.227,9.75,634.4,1000705.58
2022-06-02,2022-06-09,16628.0,15796.6,16478.1,0.203,5.49,347.32,1001052.9
2022-06-09,2022-06-16,16478.1,15654.19,15360.6,0.191,3.79,-18542.05,982510.85
2022-06-16,2022-06-23,15360.6,14592.57,15556.65,0.229,9.57,644.14,983154.99
2022-06-23,2022-06-30,15556.65,14778.82,15780.25,0.209,5.99,398.41,983553.4
2022-06-30,2022-07-07,15780.25,14991.24,16132.9,0.218,7.76,508.96,984062.36
2022-07-07,2022-07-14,16132.9,15326.26,15938.65,0.192,3.78,242.73,984305.1
2022-07-14,2022-07-21,15938.65,15141.72,16605.25,0.183,2.78,180.62,984485.72
2022-07-21,2022-07-28,16605.25,15774.99,16929.6,0.169,1.6,99.68,984585.4
2022-07-28,2022-08-04,16929.6,16083.12,17382.0,0.17,1.74,106.49,984691.89
2022-08-04,2022-08-11,17382.0,16512.9,17659.0,0.193,4.16,247.66,984939.55
2022-08-11,2022-08-18,17659.0,16776.05,17956.5,0.184,3.1,182.05,985121.6
2022-08-18,2022-08-25,17956.5,17058.67,17522.45,0.174,2.13,123.1,985244.71
2022-08-25,2022-09-01,17522.45,16646.33,17542.8,0.196,4.62,273.43,985518.13
2022-09-01,2022-09-08,17542.8,16665.66,17798.75,0.199,5.07,299.8,985817.94
2022-09-08,2022-09-15,17798.75,16908.81,17877.4,0.183,3.07,178.94,985996.88
2022-09-15,2022-09-22,17877.4,16983.53,17629.8,0.184,3.18,184.24,986181.11
2022-09-22,2022-09-29,17629.8,16748.31,16818.1,0.188,3.64,214.29,986395.41
