entry_date,exit_date,bars_held,entry,sl,r1,r2,exit,qty,exit_reason,gross_pnl,costs,net_pnl,pct_return,capital_after
2023-01-12,2023-01-13,1,17858.2,17803.43,17973.25,18050.8,17803.43,154.0368,SL,-8436.77,2746.6,-11183.37,-0.3067,832493.61
2023-01-19,2023-01-20,1,18107.85,18052.55,18221.92,18278.48,18052.55,150.5295,SL,-8324.94,2721.6,-11046.54,-0.3054,821447.07
2023-02-01,2023-02-02,1,17616.3,17537.01,17752.72,17843.28,17537.01,103.6034,SL,-8214.47,1821.0,-10035.47,-0.4501,811411.6
2023-02-07,2023-02-08,1,17721.5,17683.03,17826.08,17887.57,17887.57,210.9334,R2,35028.82,3755.57,31273.25,0.9371,842684.85
2023-02-23,2023-02-24,1,17511.25,17447.54,17708.05,17861.8,17447.54,132.2585,SL,-8426.85,2311.8,-10738.65,-0.3639,831946.2
2023-04-19,2023-04-21,2,17618.75,17573.78,17747.77,17835.38,17573.78,184.9804,SL,-8319.46,3254.96,-11574.43,-0.2553,820371.78
2023-05-18,2023-05-19,1,18129.95,18076.97,18288.72,18395.68,18076.97,154.8518,SL,-8203.72,2803.35,-11007.07,-0.2922,809364.71
2023-06-01,2023-06-05,2,18487.75,18459.06,18597.58,18660.77,18597.58,282.0643,R1,30980.25,5230.22,25750.02,0.5941,835114.73
2023-06-09,2023-06-14,3,18563.4,18555.56,18736.43,18838.32,18736.43,1065.0533,R1,184290.28,19863.16,164427.12,0.9321,999541.85
2023-06-19,2023-06-20,1,18755.45,18717.36,18890.3,18954.6,18717.36,262.4499,SL,-9995.42,4917.37,-14912.79,-0.2031,984629.07
2023-07-24,2023-07-25,1,19672.35,19647.87,19854.93,19964.87,19647.87,402.153,SL,-9846.29,7906.37,-17752.66,-0.1245,966876.4
2023-07-28,2023-08-02,3,19646.05,19533.56,19817.12,19974.33,19533.56,85.9547,SL,-9668.76,1683.84,-11352.6,-0.5726,955523.8
2023-08-10,2023-08-11,1,19543.1,19498.68,19696.2,19759.85,19498.68,215.1243,SL,-9555.24,4199.42,-13754.66,-0.2273,941769.15
2023-08-17,2023-08-18,1,19365.25,19341.19,19526.1,19587.2,19341.19,391.4078,SL,-9417.69,7575.0,-16992.69,-0.1242,924776.45
2023-08-24,2023-08-25,1,19386.7,19363.67,19488.5,19533.0,19363.67,401.5043,SL,-9247.76,7779.22,-17026.98,-0.1188,907749.47
2023-09-22,2023-09-25,1,19674.25,19665.6,19824.08,19905.82,19665.6,1049.0902,SL,-9077.49,20635.52,-29713.02,-0.044,878036.45
2023-10-13,2023-10-16,1,19751.05,19743.57,19833.98,19873.97,19743.57,1173.7229,SL,-8780.36,23177.87,-31958.24,-0.0379,846078.21
2023-10-19,2023-10-20,1,19624.7,19587.44,19788.05,19905.0,19587.44,227.0937,SL,-8460.78,4452.42,-12913.2,-0.1898,833165.02
2023-11-09,2023-11-10,1,19395.3,19389.12,19471.43,19499.37,19389.12,1349.0123,SL,-8331.65,26160.33,-34491.98,-0.0318,798673.03
2023-11-20,2023-11-21,1,19694.0,19644.5,19802.72,19873.63,19802.72,161.3562,R1,17542.24,3186.52,14355.72,0.552,813028.75
2024-01-18,2024-01-23,2,21462.25,21442.97,21765.48,21959.02,21442.97,421.6486,SL,-8130.29,9045.46,-17175.75,-0.0898,795853.0
2024-01-25,2024-01-29,1,21352.6,21212.08,21578.47,21702.98,21702.98,56.6374,R2,19844.82,1219.28,18625.54,1.6409,814478.54
2024-01-30,2024-01-31,1,21522.1,21502.19,21857.37,21977.13,21502.19,409.1381,SL,-8144.79,8801.44,-16946.22,-0.0925,797532.31
2024-02-05,2024-02-07,2,21771.7,21708.9,22051.88,22249.97,22051.88,127.0042,R1,35584.66,2782.89,32801.77,1.2869,830334.09
2024-03-05,2024-03-06,1,22356.3,22339.94,22444.9,22484.2,22339.94,507.4476,SL,-8303.34,11340.5,-19643.84,-0.0732,810690.24
2024-03-15,2024-03-18,1,22023.35,21952.59,22261.67,22376.68,21952.59,114.5737,SL,-8106.9,2519.24,-10626.14,-0.3213,800064.1
2024-03-26,2024-03-28,2,22004.7,21904.54,22223.87,22350.98,22350.98,79.88,R2,27661.05,1771.57,25889.49,1.5737,825953.59
2024-04-26,2024-04-30,2,22419.95,22352.71,22695.78,22821.22,22695.78,122.8349,R1,33881.95,2770.89,31111.06,1.2303,857064.65
2024-06-19,2024-06-20,1,23516.0,23488.54,23591.4,23624.9,23488.54,312.0846,SL,-8570.65,7334.7,-15905.34,-0.1168,841159.3
2024-06-21,2024-06-24,1,23501.1,23441.6,23646.47,23725.93,23441.6,141.3754,SL,-8411.59,3318.27,-11729.87,-0.2532,829429.44
2024-07-22,2024-07-23,1,24509.25,24383.36,24754.42,24977.93,24383.36,65.8848,SL,-8294.29,1610.64,-9904.93,-0.5136,819524.5
2024-09-05,2024-09-06,1,25145.1,25091.22,25248.53,25298.37,25091.22,152.0944,SL,-8195.25,3820.33,-12015.58,-0.2143,807508.93
2024-09-11,2024-09-12,1,24918.45,24890.19,25148.8,25256.5,25256.5,285.7017,R2,96581.49,7167.53,89413.96,1.3566,896922.89
2024-09-18,2024-09-19,1,25377.55,25341.28,25456.05,25493.55,25493.55,247.3107,R2,28688.05,6290.48,22397.56,0.4571,919320.45
2024-10-11,2024-10-14,1,24964.25,24915.61,25095.2,25191.95,25095.2,189.0009,R1,24749.64,4730.64,20019.0,0.5245,939339.45
2024-10-15,2024-10-16,1,25057.35,25018.67,25185.97,25243.98,25018.67,242.8666,SL,-9393.39,6080.9,-15474.29,-0.1544,923865.16
2024-11-08,2024-11-11,1,24148.2,24060.4,24408.78,24618.22,24060.4,105.2238,SL,-9238.65,2536.35,-11775.0,-0.3636,912090.16
2024-12-09,2024-12-10,1,24619.0,24590.57,24745.73,24813.67,24590.57,320.8017,SL,-9120.9,7893.26,-17014.16,-0.1155,895076.0
2024-12-18,2024-12-19,1,24198.85,24194.05,24538.92,24741.83,24194.05,1864.1204,SL,-8950.76,45105.09,-54055.85,-0.0198,841020.14
2025-05-06,2025-05-07,1,24379.6,24374.67,24524.82,24588.48,24374.67,1705.3631,SL,-8410.2,41571.87,-49982.07,-0.0202,791038.08
2025-05-08,2025-05-09,1,24273.8,24248.79,24502.67,24590.93,24248.79,316.3293,SL,-7910.38,7674.56,-15584.94,-0.103,775453.14
2025-05-13,2025-05-15,2,24578.35,24529.54,25120.05,25315.4,24529.54,158.8889,SL,-7754.53,3901.35,-11655.88,-0.1986,763797.26
2025-05-19,2025-05-20,1,24945.45,24933.61,25075.52,25131.23,24933.61,645.0948,SL,-7637.97,16088.36,-23726.33,-0.0475,740070.93
2025-05-30,2025-06-02,1,24750.7,24685.02,24925.03,25016.47,24685.02,112.6865,SL,-7400.71,2785.37,-10186.08,-0.2653,729884.85
2025-06-18,2025-06-19,1,24812.05,24759.27,24952.4,25051.4,24759.27,138.2741,SL,-7298.85,3427.22,-10726.06,-0.2127,719158.78
2025-06-23,2025-06-24,1,24971.9,24860.42,25237.85,25363.3,25237.85,64.5073,R1,17155.66,1619.45,15536.21,1.065,734695.0
2025-07-09,2025-07-10,1,25476.1,25422.97,25572.32,25622.13,25422.97,138.279,SL,-7346.95,3519.14,-10866.09,-0.2086,723828.91
2025-07-14,2025-07-17,3,25082.3,25053.34,25271.87,25393.88,25111.45,249.9191,TIME,7284.75,6272.19,1012.56,0.1162,724841.47
2025-07-31,2025-08-01,1,24768.35,24759.12,24914.25,24973.45,24759.12,784.9898,SL,-7248.41,19439.28,-26687.69,-0.0373,698153.78
2025-08-05,2025-08-06,1,24649.55,24581.14,24788.0,24853.25,24581.14,102.0595,SL,-6981.54,2512.23,-9493.77,-0.2775,688660.01
2025-08-29,2025-09-02,2,24426.85,24396.36,24641.83,24782.77,24641.83,225.885,R1,48561.76,5541.94,43019.81,0.8801,731679.83
2025-09-15,2025-09-16,1,25069.2,25029.83,25156.28,25198.57,25198.57,185.8471,R2,24042.28,4671.06,19371.22,0.516,751051.04
