entry_date,exit_date,bars_held,entry,sl,r1,r2,exit,qty,exit_reason,gross_pnl,costs,net_pnl,pct_return,capital_after
2022-10-13,2022-10-14,1,17014.35,16991.31,17190.62,17257.63,17257.63,312.5039,R2,76026.74,5355.06,70671.67,1.4299,790707.73
2022-11-02,2022-11-03,1,18082.85,18060.36,18194.08,18242.77,18060.36,351.5124,SL,-7907.08,6352.39,-14259.47,-0.1244,776448.26
2022-11-17,2022-11-18,1,18343.9,18336.8,18453.15,18496.65,18336.8,1092.7964,SL,-7764.48,20042.27,-27806.75,-0.0387,748641.51
2022-12-06,2022-12-07,1,18642.75,18600.11,18755.98,18810.92,18600.11,175.5931,SL,-7486.42,3269.8,-10756.21,-0.2287,737885.3
2022-12-22,2022-12-23,1,18127.35,18065.37,18394.05,18589.0,18065.37,119.046,SL,-7378.85,2154.3,-9533.15,-0.3419,728352.14
2023-01-05,2023-01-06,1,17992.15,17943.4,18183.77,18324.58,17943.4,149.4182,SL,-7283.52,2684.71,-9968.23,-0.2709,718383.91
2023-01-12,2023-01-13,1,17858.2,17803.43,17973.25,18050.8,17803.43,131.1611,SL,-7183.84,2338.71,-9522.55,-0.3067,708861.36
2023-01-19,2023-01-20,1,18107.85,18052.55,18221.92,18278.48,18052.55,128.1746,SL,-7088.61,2317.42,-9406.04,-0.3054,699455.33
2023-02-01,2023-02-02,1,17616.3,17537.01,17752.72,17843.28,17537.01,88.2174,SL,-6994.55,1550.57,-8545.12,-0.4501,690910.2
2023-02-07,2023-02-08,1,17721.5,17683.03,17826.08,17887.57,17887.57,179.6081,R2,29826.75,3197.84,26628.91,0.9371,717539.12
2023-02-23,2023-02-24,1,17511.25,17447.54,17708.05,17861.8,17447.54,112.617,SL,-7175.39,1968.48,-9143.87,-0.3639,708395.25
2023-02-27,2023-02-28,1,17392.7,17374.43,17569.77,17673.73,17374.43,387.6662,SL,-7083.95,6739.02,-13822.97,-0.1051,694572.28
2023-04-19,2023-04-21,2,17618.75,17573.78,17747.77,17835.38,17573.78,154.4358,SL,-6945.72,2717.49,-9663.22,-0.2553,684909.06
2023-05-03,2023-05-04,1,18089.85,18088.08,18184.68,18221.72,18088.08,3864.7408,SL,-6849.09,69909.16,-76758.25,-0.0098,608150.81
2023-05-18,2023-05-19,1,18129.95,18076.97,18288.72,18395.68,18076.97,114.7933,SL,-6081.51,2078.16,-8159.66,-0.2922,599991.15
2023-06-01,2023-06-05,2,18487.75,18459.06,18597.58,18660.77,18597.58,209.0975,R1,22966.01,3877.22,19088.78,0.5941,619079.93
2023-06-09,2023-06-14,3,18563.4,18555.56,18736.43,18838.32,18736.43,789.536,R1,136616.45,14724.78,121891.67,0.9321,740971.6
2023-06-19,2023-06-20,1,18755.45,18717.36,18890.3,18954.6,18717.36,194.557,SL,-7409.72,3645.3,-11055.02,-0.2031,729916.59
2023-07-12,2023-07-13,1,19384.3,19372.81,19500.85,19562.3,19562.3,635.0905,R2,113045.7,12367.31,100678.39,0.9183,830594.97
2023-07-24,2023-07-25,1,19672.35,19647.87,19854.93,19964.87,19647.87,339.2407,SL,-8305.95,6669.51,-14975.46,-0.1245,815619.52
2023-07-28,2023-08-02,3,19646.05,19533.56,19817.12,19974.33,19533.56,72.5081,SL,-8156.2,1420.42,-9576.61,-0.5726,806042.9
2023-08-10,2023-08-11,1,19543.1,19498.68,19696.2,19759.85,19498.68,181.4705,SL,-8060.43,3542.47,-11602.9,-0.2273,794440.01
2023-08-17,2023-08-18,1,19365.25,19341.19,19526.1,19587.2,19341.19,330.1765,SL,-7944.4,6389.98,-14334.38,-0.1242,780105.63
2023-08-24,2023-08-25,1,19386.7,19363.67,19488.5,19533.0,19363.67,338.6935,SL,-7801.06,6562.25,-14363.31,-0.1188,765742.32
2023-09-18,2023-09-20,1,20133.3,20120.41,20233.3,20274.25,20120.41,593.9739,SL,-7657.42,11954.83,-19612.25,-0.064,746130.07
